City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
230,Vikersund,NO,82.99,59.97,9.99,Tyrifjord Hotell
231,Kalemie,CD,70.59,-5.95,29.19,Mahobilali
232,Lompoc,US,69.01,34.64,-120.46,Holiday Inn Express Lompoc
234,Maceio,BR,84.2,-9.67,-35.74,Mercure Maceio Pajucara Hotel
235,Atasu,KZ,62.8,48.68,71.64,Dostyk
237,Monastyrshchina,RU,71.56,54.35,31.84,
238,Natal,BR,78.8,-5.79,-35.21,Villa Park Hotel | Natal
240,Antofagasta,CL,60.8,-23.65,-70.4,Hotel Terrado Suites Antofagasta
241,Ponta Do Sol,PT,73.4,32.67,-17.1,Hotel do Campo
242,Redmond,US,69.01,47.67,-122.12,Seattle Marriott Redmond
244,Rincon,US,84.99,32.3,-81.24,Bent tree subdivision
245,Elektrogorsk,RU,77.0,55.88,38.79,"""Flagman"" Otel'"
246,Torata,PE,68.31,-17.08,-70.84,Lodging Sra. Tina Vera
248,Broome,US,82.99,42.25,-75.83,Chenango Valley State Park
249,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
250,Bowen,AU,70.0,-20.02,148.23,Castle Motor Lodge Motel
252,Pindiga,NG,76.86,9.98,10.93,Accommodation Center
253,Edd,ER,88.14,13.93,41.69,
254,Tacuarembo,UY,65.14,-31.73,-55.98,Hotel Orange
255,Nanakuli,US,77.0,21.39,-158.15,Camp Palehua
256,Ixtapa,MX,87.01,20.7,-105.2,Container Inn Puerto Vallarta
258,Coquimbo,CL,60.8,-29.95,-71.34,Hotel San Juan
260,Port Hawkesbury,CA,87.8,45.62,-61.35,MacKenzie House Tourist Home B&B
264,Ocala,US,91.0,29.19,-82.14,Howard Johnson by Wyndham Ocala FL
266,Mastic Beach,US,75.2,40.77,-72.85,Brushwood House by Smith Point Beach
267,Phan Thiet,VN,79.32,10.93,108.1,Hotel Saigon-PT
268,Nishihara,JP,82.4,26.18,127.76,Minshuku Agaihama
269,Cabo San Lucas,MX,93.2,22.89,-109.91,Hotel Tesoro Los Cabos
270,Bilibino,RU,65.37,68.05,166.44,Gostinitsa Severyanka
271,Roald,NO,70.0,62.58,6.13,Flem Cabins
272,Touros,BR,78.8,-5.2,-35.46,INN NEW HORIZON
273,Adamas,GR,77.0,36.73,24.43,Aphrodite of Milos
275,Corn Island,NI,82.35,12.17,-83.04,Big Fish Guest House
276,Port Hedland,AU,62.6,-20.32,118.57,The Esplanade Hotel
278,Chikwawa,MW,68.04,-16.03,34.8,Thawale Lodge
279,Fortuna,US,68.0,40.6,-124.16,Super 8 by Wyndham Fortuna
280,Erzurum,TR,62.6,40.0,41.5,
281,Tulu Bolo,ET,61.47,8.67,38.22,Kiya Sime Hotel
283,Hami,CN,83.8,42.8,93.45,Laoyutang Resort
285,Maryborough,AU,63.0,-25.53,152.7,Blue Shades Motel
286,Maarianhamina,AX,62.6,60.1,19.93,Park Alandia Hotel
287,Miles City,US,60.8,46.41,-105.84,FairBridge Inn & Suites Miles City
289,Garissa,KE,79.45,-0.45,39.64,Almond Resort
291,Rawson,AR,60.01,-43.3,-65.1,Hotel Punta León
292,Belaya Gora,RU,74.41,68.53,146.42,
293,Clearwater,US,90.0,27.97,-82.8,Shephard's Beach Resort
294,Inhambane,MZ,66.2,-23.86,35.38,Oceano
295,Coahuayana,MX,82.4,18.73,-103.68,Hotel Los Arcos
296,Roma,US,86.0,43.21,-75.46,Wingate By Wyndham Rome
297,Vallenar,CL,75.24,-28.57,-70.76,Humacao Bed & Breakfast
298,Dawson Creek,CA,68.0,55.77,-120.24,Peace Villa Motel
300,Salamanca,ES,75.2,40.83,-6.0,Palacio Carrascalino
301,Presidente Medici,BR,87.55,-11.18,-61.9,Oliveira Palace Hotel
306,Khash,IR,80.04,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
308,Toul,FR,68.0,48.67,5.92,Abc Hotel
309,Rosarito,MX,71.01,32.33,-117.03,Hotel Festival Plaza Rosarito
310,Cabra,ES,82.99,37.47,-4.44,MS Fuente Las Piedras
314,Cherskiy,RU,65.26,68.75,161.3,Gostinitsa
315,Pasni,PK,83.97,25.26,63.47,3G hotel pasni
